data.username,data.name,data.description,data.id,data.verified,data.public_metrics.followers_count,data.public_metrics.following_count,data.public_metrics.tweet_count,data.public_metrics.listed_count,lastUpdate
FoxNews,Fox News,"Follow America's #1 cable news network, delivering you breaking news, insightful analysis, and must-see videos. https://t.co/sXA1eVB5Gv",1367531,TRUE,21805566,262,469591,71851,2022-05-22T11:40:49.615711Z
Newsweek,Newsweek,The freedom to disagree.,2884771,TRUE,3550784,567,306551,37407,2022-05-22T11:40:49.615711Z
CNBC,CNBC,First in business worldwide.,20402945,TRUE,4688772,853,499163,38365,2022-05-22T11:40:49.615711Z
ABC,ABC News,"All the news and information you need to see, curated by the @ABC News team. Watch full ABC News broadcasts on @Hulu: https://t.co/w3wQ1O1Szs",28785486,TRUE,17503760,488,386022,65584,2022-05-22T11:40:49.615711Z
KyivIndependent,The Kyiv Independent,"Independent English-language journalism in Ukraine.

Become our patron: https://t.co/4OIXdyilwG

Donate: https://t.co/SoNr2TVrxO",1462548977367359490,TRUE,2148331,20,5240,15927,2022-05-22T11:40:49.615711Z
KyivPost,KyivPost,The award-winning Kyiv Post is the top international source of English-language news about Ukraine since 1995.,14106476,TRUE,375584,1579,57754,5897,2022-05-22T11:40:49.615711Z
MoscowTimes,The Moscow Times,"Independent news from Russia since 1992. 

Photo: Alexander Avilov / Moskva News Agency",19527964,TRUE,186418,364,115744,5518,2022-05-22T11:40:49.615711Z
dwnews,DW News,We really know Germany 🇩🇪. Follow us for trustworthy news and analysis from our reporters around the world. We also have a sense of humor. Sometimes.,6134882,TRUE,602343,604,308593,8215,2022-05-22T11:40:49.615711Z
en_germany,All about Germany | deutschland.de,"Stay up to date on what's happening in 🇩🇪 and our global outreach to all regions of the 🌍.
Recommendations: @ger_trends & @ger_service
💡🔗 https://t.co/JTO1dmJvH5",21082756,TRUE,339087,2690,26169,668,2022-05-22T11:40:49.615711Z
BILD_English,BILD_English,News from Germany and the world,16040059,FALSE,6426,0,74,297,2022-05-22T11:40:49.615711Z
France24_en,FRANCE 24 English,"🌍 The French international news channel live 24/7 from Paris - Follow us for top stories on #business, #politics and #sports - 🔴 Breaking Alerts: @BreakingF24",25049056,TRUE,337428,1123,324576,6255,2022-05-22T11:40:49.615711Z
FRANCE24,FRANCE 24,"🌍 International News 24/7 in 4 languages: 
@France24_fr - @France24_en - @France24_es - @France24_ar 
📱 https://t.co/xDU6EWz22o  ✉️ https://t.co/ZaaXsh7FeN",1994321,TRUE,3910357,455,368757,12286,2022-05-22T11:40:49.615711Z
TVPWorld_com,TVP World,"World news as seen from the Polish perspective and the latest news from the CEE region 🇵🇱

Check It out! #TVPWorld_com",970631672268980224,FALSE,13116,693,18607,114,2022-05-22T11:40:49.615711Z
notesfrompoland,Notes from Poland 🇵🇱,"Independent and informed news and insight on Polish current affairs, politics, culture, business and history.",919246321898401792,FALSE,34511,202,21104,475,2022-05-22T11:40:49.615711Z
thewire_in,The Wire,"India's foremost independent news-site, carrying critical opinion, investigations and reportage. 

Click here to support us: https://t.co/zqZwu8jH0P",3150940290,TRUE,1199816,391,131512,2707,2022-05-22T11:40:49.615711Z
ndtvfeed,NDTV News feed,Latest stories from NDTV Newsroom,96900937,TRUE,475435,2,365811,1318,2022-05-22T11:40:49.615711Z
CBCNews,CBC News,Latest news and analysis from CBC News. 🇨🇦,6433472,TRUE,3332999,1296,263240,15680,2022-05-22T11:40:49.615711Z
globeandmail,The Globe and Mail,Canada's national news organization. Customer care: @GlobeHelp. Share info with us anonymously: https://t.co/ROPEUBZwoO,8736882,TRUE,1983486,1004,577056,14412,2022-05-22T11:40:49.615711Z
CP24,CP24,"CP24 is Toronto and the GTA's #1 source for breaking news. For breaking news alerts on your phone, download our app https://t.co/pGf88z8tnI",19636948,TRUE,2173603,377,224877,6969,2022-05-22T11:40:49.615711Z
PDChina,"People's Daily, China",The largest newspaper in China,303862998,TRUE,6844750,4314,110856,8147,2022-05-22T11:40:49.615711Z
japantimes,The Japan Times,Breaking news and features about Japan from the nation's most widely read English-language newspaper. 日本で一番読まれている英字新聞・ジャパンタイムズが発信する国内外ニュースと、様々なジャンルの特集記事。,7424642,TRUE,409977,34,255460,10778,2022-05-22T11:40:49.615711Z
The_Japan_News,The Japan News,"News from The Japan News, the English-language sister publication of Japan's largest daily newspaper, The Yomiuri Shimbun.                          @JN_Japanese",147463326,TRUE,196136,34,16215,4188,2022-05-22T11:40:49.615711Z
